id,Rede,Nome,Localizado em,Endereço,Bairro,CEP,Tipo,Latitude,Longitude
Restaurante_10.996.205,Outback,Outback Steakhouse Shopping Frei Caneca,Rua,R. Frei Caneca,Cerqueira César,01307-001,Restaurante,-23.643428,-46.527638
Restaurante_10.996.363,Outback,Outback Steakhouse Shopping Villa Lobos,Rua,Av. das Nações Unidas,Jardim Universidade Pinheiros,05477-903,Restaurante,-23.577956,-46.694608
Restaurante_10.996.419,Frango Assado,Le Coq Frango Assado Sao Paulo,Rua,Rua Albuquerque Sousa Muniz,Vila Mascote,04635-010,Restaurante,-23.779579,-45.358564
Restaurante_10.996.510,Outback,Outback Steakhouse,Rua,Av. das Nações Unidas,Jurubatuba,04795-000,Restaurante,-23.5247,-46.758439
Restaurante_10.996.530,Divino Fogão,Divino Fogao Ibirapuera,Rua,Av Ibirapuera,Alameda dos Jurupis,04029-200,Restaurante,-23.407596,-46.660995
Restaurante_10.996.558,Domino´s Pizza,Dominos Pizza Barra Funda,Rua,Av. Marquês de São Vicente,Várzea da Barra Funda,01139-003,Restaurante,-23.519186,-46.675581
Restaurante_10.996.626,Abbraccio,Abbraccio Cucina Italiana,Rua,Av. Paulista,Bela Vista,01310-200,Restaurante,-23.56329,-46.654118
Restaurante_10.996.744,Almanara,Almanara,Rua,Av. Roque Petroni Júnior,Jardim das Acacias,04707-900,Restaurante,-23.624571,-46.694184
Restaurante_10.996.825,Sí Señor,Si Senor Consolacao,Rua,R. Luís Coelho,Consolação,01309-000,Restaurante,-23.556582,-46.659375
Restaurante_10.997.018,Outback,Outback Steakhouse,Rua,R. Dr. João Ribeiro,Penha de França,03634-900,Restaurante,-23.523048,-46.543098
Restaurante_10.997.263,Andiamo,Andiamo Shopping Cidade Sao Paulo,Rua,Av. Paulista,Bela Vista,01310-100,Restaurante,-23.56329,-46.654118
Restaurante_10.997.319,Brasileirinho,Brasileirinho Delivery,Rua,R. Santa Ifigênia,985,01209-001,Restaurante,-23.535686,-46.641176
Restaurante_10.997.366,Almanara,Almanara Higienopolis,Rua,Av. Higienópolis,Higienópolis,01238-001,Restaurante,-22.741792,-47.645072
Restaurante_10.997.413,Divino Fogão,Divino Fogao Shopping Eldorado,Rua,Av. Rebouças,Pinheiros,05402-600,Restaurante,-23.565711,-46.680791
Restaurante_10.997.628,Domino´s Pizza,Dominos Pizza Peri Peri,Rua,Av. Min. Laudo Ferreira de Camargo,Jardim Peri Peri,05537-001,Restaurante,-23.587551,-46.736739
Restaurante_10.997.634,Jeronimo Smash Burger,Jeronimo Burger Vila Olimpia,Rua,R. Ramos Batista,Vila Olímpia,04552-020,Restaurante,-20.738465,-48.913529
Restaurante_10.997.701,Divino Fogão,Divino Fogao Plaza Sul Shopping,Rua,Av. Prof. Abraão de Morais,Jardim da Saúde,04123-000,Restaurante,-23.614843,-46.627268
Restaurante_10.997.734,Domino´s Pizza,Dominos Pizza Alto do Ipiranga,Rua,Rua Vergueiro,Paraíso,04272-200,Restaurante,-23.561781,-46.638582
Restaurante_10.997.868,Divino Fogão,Divino Fogao Aricanduva,Rua,Av. Aricanduva,Jardim Marília,03526-000,Restaurante,-23.652387,-46.533937
Restaurante_10.997.933,Jeronimo Smash Burger,Jeronimo Track,Rua,Av. Paulista,Bela Vista,01310-928,Restaurante,-23.56329,-46.654118
Restaurante_10.997.959,Andiamo,Andiamo Ristorante,Rua,Av. Roque Petroni Júnior,Itaim Bibi,04707-900,Restaurante,-23.624571,-46.694184
Restaurante_10.998.049,Sr. Espetto,Sr Espetto Itapura,Rua,R. Itapura,Tatuapé,03310-000,Restaurante,-23.546009,-46.566197
Restaurante_10.998.302,Brasileirinho,Brasileirinho Bar e Restaurante,Rua,Av. Santo Amaro,Vila Nova Conceição,04505-001,Restaurante,-23.940518,-46.321214
Restaurante_10.998.337,Outback,Outback Steakhouse Shopping Patio Paulista,Rua,R. Treze de Maio,Bela Vista,01327-001,Restaurante,-23.558856,-46.646398
Restaurante_10.998.349,Divino Fogão,Divino Fogao Continental,Rua,Av. Leão Machado,Jaguaré,05328-020,Restaurante,-23.548148,-46.756859
Restaurante_10.998.384,Divino Fogão,Divino Fogao Shopping Patio Paulista,Rua,R. Treze de Maio,Bela Vista,01327-010,Restaurante,-23.558856,-46.646398
Restaurante_10.998.424,Brasileirinho,Brasileirinho Delivery,Rua,Av. Guapira,Tucuruvi,02265-001,Restaurante,-23.481785,-46.601996
Restaurante_10.998.441,Coco Bambu,Coco Bambu Conceito Eldorado Restaurante Peixe Camarao Carnes Lagosta SP,Rua,Avenida Rebouças,Pinheiros,05402-600,Restaurante,-23.565711,-46.680791
Restaurante_10.998.460,Divino Fogão,Divino Fogao Shopping Analia Franco,Rua,Avenida Regente Feijó,Jardim Analia Franco,16026-005,Restaurante,-22.219178,-51.303898
Restaurante_10.998.596,Sí Señor,Si Senor,Rua,R. dos Pinheiros,Pinheiros,05422-011,Restaurante,-23.566829,-46.685687
Restaurante_10.998.625,América,Restaurante America Bourbon,Rua,R. Palestra Itália,Perdizes,05005-030,Restaurante,-23.527642,-46.680692
Restaurante_10.998.784,Brasileirinho,Brasileirinho,Rua,R. Dr. Campos Moura,Parque Artur Alvim,03568-010,Restaurante,-23.541645,-46.484222
Restaurante_10.998.889,Divino Fogão,Divino Fogao Shopping D,Rua,Av. Cruzeiro do Sul,Canindé,03033-020,Restaurante,-23.514082,-46.779107
