id,Rede,Nome,Localizado em,Endereço,Bairro,CEP,Tipo,Latitude,Longitude,geometry
Farmacia_11.101.158,Drogaria Sp,Drogaria Sao Paulo,Rua,R. Américo Brasiliense,Chácara Santo Antônio,04715004,Farmacia,-23.614705,-46.565578,POINT (-46.565578 -23.614705)
Farmacia_11.101.159,Ultrafarma Popular,Ultrafarma Popular Jd Colorado,Rua,Av. da Barreira Grande,Jardim Colorado,03385100,Farmacia,-23.652387,-46.533937,POINT (-46.533937 -23.652387)
Farmacia_11.101.163,Drogasil,Drogasil,Rua,Av. Atlântica,Jardim Guarapiranga,04772004,Farmacia,-23.652387,-46.533937,POINT (-46.533937 -23.652387)
Farmacia_11.101.174,Drogasil,Drogasil,Rua,Av. Cruzeiro do Sul,Rochdale,06226006,Farmacia,-23.50978000202197,-46.77777218851296,POINT (-46.77777218851296 -23.50978000202197)
Farmacia_11.101.191,Drogasil,Drogasil,Rua,Av. Aricanduva,Jardim Santa Tereza,03527900,Farmacia,-23.649784,-46.805503,POINT (-46.805503 -23.649784)
Farmacia_11.101.203,Drogaria Sp,Drogaria Sao Paulo,Rua,R. Clodomiro Amazonas,Vila Nova Conceição,04537012,Farmacia,-23.895597,-46.425581,POINT (-46.425581 -23.895597)
Farmacia_11.101.219,Ultrafarma Popular,Ultrafarma Popular Jardim Guairaca,Rua,Av. do Oratório,Jardim Guairaca,03220200,Farmacia,-23.652387,-46.533937,POINT (-46.533937 -23.652387)
Farmacia_11.101.220,Drogaria Sp,Drogaria Sao Paulo,Rua,R. Júlio de Castilhos,Belenzinho,03057040,Farmacia,-23.465079,-46.472595,POINT (-46.472595 -23.465079)
Farmacia_11.101.224,Ultrafarma Popular,Ultrafarma Popular Moenda Velha,Rua,Av. da Moenda Velha,Parque Independencia,05880330,Farmacia,-23.69854,-46.579792,POINT (-46.579792 -23.69854)
Farmacia_11.101.242,Drogasil,Drogasil,Rua,Av. do Oratório,Vila Independencia,03220000,Farmacia,-22.728343,-47.635612,POINT (-47.635612 -22.728343)
Farmacia_11.101.255,Poupafarma,Poupafarma,Rua,Av. dos Remédios,Vila Santa Edwiges,05107001,Farmacia,-22.773612,-45.199056,POINT (-45.199056 -22.773612)
Farmacia_11.101.261,Drogasil,Drogasil,Rua,R. Júlio de Castilhos,Belenzinho,03059005,Farmacia,-23.465079,-46.472595,POINT (-46.472595 -23.465079)
Farmacia_11.101.266,Farma Conde,Farma Conde Av Parada Pinto,Rua,Av. Parada Pinto,Vila Nova Cachoeirinha,02442080,Farmacia,-23.895597,-46.425581,POINT (-46.425581 -23.895597)
Farmacia_11.101.279,Drogaria Sp,Drogaria Sao Paulo,Rua,Av. Cupecê,Jardim Prudência,04365001,Farmacia,-23.652387,-46.533937,POINT (-46.533937 -23.652387)
Farmacia_11.101.285,ExtraFarma,Extrafarma,Rua,Av. Francisco Falconi,Jardim Avelino,03227000,Farmacia,-23.652387,-46.533937,POINT (-46.533937 -23.652387)
Farmacia_11.101.287,Drogasil,Drogasil,Rua,Av. Parada Pinto,Vila Nova Cachoeirinha,02611002,Farmacia,-23.895597,-46.425581,POINT (-46.425581 -23.895597)
Farmacia_11.101.316,Drogaria Sp,Drogaria Sao Paulo,Rua,Av Sapopemba 11727 Saloes 01 e 02 Terreo,Jardim Adutora,03989010,Farmacia,-23.652387,-46.533937,POINT (-46.533937 -23.652387)
Farmacia_11.101.329,Droga Raia,Droga Raia,Rua,Rua Hélade,Vila Mascote,05582000,Farmacia,-23.779579,-45.358564,POINT (-45.358564 -23.779579)
Farmacia_11.101.331,Drogasil,Drogasil,Rua,Estrada de Itapecerica,Vila Maracana,05835005,Farmacia,-23.164859,-46.627972,POINT (-46.627972 -23.164859)
Farmacia_11.101.334,Drogaria Sp,Drogaria Sao Paulo,Rua,Av. Conceição,Vila Paiva,02072002,Farmacia,-23.148619806863348,-45.91120826174804,POINT (-45.91120826174804 -23.148619806863348)
