id,Rede,Nome,Nome.1,Localizado em,Endereço,Bairro,CEP,Tipo,Latitude,Longitude
Faculdade_1.736.162,Privada,Universidade Paulista,Campus V - Chácara Santo Antônio,Rua,R Cancioneiro Popular 210,Santo Amaro,04710-000,Faculdade,-23.63024,-46.694825
Faculdade_1.736.164,Privada,Universidade Paulista,Campus IIi - Anchieta,Rua,R Francisco Bautista 300,Jardim Santa Cruz,04182-020,Faculdade,-22.941983,-46.552503
Faculdade_1.736.188,Privada,Universidade Anhembi Morumbi,Campus Morumbi,Rua,Av Roque Petroni Junior 630,Morumbi,04707-000,Faculdade,-23.622747,-46.69314
Faculdade_1.736.190,Privada,Universidade Nove de Julho,Unidade Vergueiro Sede,Rua,R Vergueiro 235,Liberdade,01504-001,Faculdade,-23.564018,-46.639059
Faculdade_1.736.191,Privada,Universidade Nove de Julho,Memorial,Rua,R Adolfo Pinto 109,Barra Funda,01156-050,Faculdade,-23.51957,-46.674173
Faculdade_1.736.193,Privada,Centro Universitário Assunção,Vila Mariana,Rua,R Afonso Celso 671/711,Vila Mariana,04119-000,Faculdade,-23.599164,-46.634867
Faculdade_1.736.195,Privada,Universidade de Mogi das Cruzes,Campus Villa Lobos-são Paulo,Rua,Av Imperatriz Leopoldina 550,Vila Leopoldina,05305-011,Faculdade,-23.525441,-46.736543
Faculdade_1.736.196,Privada,Centro Universitário Estácio de São Paulo,Santo Amaro,Rua,R Promotor Gabriel Netuzzi Perez 108,Santo Amaro,04743-020,Faculdade,-23.652512,-46.704708
Faculdade_1.736.200,Privada,Faculdade de Biblioteconomia e Ciência da Informação,Campus - São Paulo - Vila Buarque,Rua,Rua Dr. Cesário Mota Júnior 262,Vila Buarque,01221-020,Faculdade,-23.544166,-46.649126
Faculdade_1.736.201,Privada,Centro Universitário Salesiano de São Paulo,Unidade de Ensino de São Paulo - Campus Pio XI,Rua,R Pio XI 1100,Alto da Lapa,05060-001,Faculdade,-23.532856,-46.713308
Faculdade_1.736.208,Privada,Faculdade Flamingo,Campus Lapa,Rua,R George Smith 122,Lapa,05074-010,Faculdade,-23.518734,-46.704884
Faculdade_1.736.210,Privada,Faculdade Santa Marcelina,Unidade Itaquera,Rua,R São João das Duas Barras 95,Itaquera,08270-080,Faculdade,-23.555152,-46.463703
Faculdade_1.736.211,Privada,Centro Universitário das Américas,Rua Augusta,Rua,Rua Augusta 973,Consolação,01305-100,Faculdade,-23.553629,-46.6549
Faculdade_1.736.213,Privada,"Faculdade de Comunicação e Design """"oswaldo Cruz""""",Campus - São Paulo - Barra Funda,Rua,R Conselheiro Brotero 475,Barra Funda,01154-001,Faculdade,-23.531243,-46.657261
Faculdade_1.736.219,Privada,Faculdade de São Bento,Unidade Sede,Rua,Largo de São Bento S/N,Centro,01029-010,Faculdade,48.77353,9.17742
Faculdade_1.736.220,Privada,Faculdade de Tecnologia Carlos Drummond de Andrade,Unidade Ponte Rasa,Rua,Av São Miguel 4335,Ponte Rasa,03741-000,Faculdade,-23.507706,-46.491561
Faculdade_1.736.221,Privada,Centro Universitário Carlos Drummond de Andrade,João XXiii,Rua,R Penha de França 35,Penha,03606-010,Faculdade,43.723988,-1.053305
Faculdade_1.736.224,Privada,Escola da Cidade - Faculdade de Arquitetura e Urbanismo,Escola da Cidade - Faculdade de Arquitetura e Urbanismo,Rua,R General Jardim 65/51,Vila Buarque,01223-011,Faculdade,-23.779579,-45.358564
Faculdade_1.736.226,Pública,"Instituto Federal de Educação, Ciência e Tecnologia de São Paulo",Ifsp - Campus São Paulo,Rua,R Pedro Vicente 625,Canindé,01109-010,Faculdade,-23.52515,-46.622893
Faculdade_1.736.250,Privada,Universidade São Judas Tadeu,Unidade Sede,Rua,R Taquari 546,Mooca,03166-000,Faculdade,-23.552166,-46.597664
Faculdade_1.736.335,Privada,Universidade Santo Amaro,Campus I,Rua,R Enéas de Siqueira Neto 340,Jardim das Imbuias,04829-300,Faculdade,-23.730663,-46.711936
Faculdade_1.736.354,Privada,Universidade Cidade de São Paulo,Universidade Cidade de São Paulo - Unicid - Sede,Rua,R Cesário Galero 448/475,Tatuapé,03071-000,Faculdade,-23.534246,-46.560354
Faculdade_1.736.434,Privada,Centro Universitário Sant¿anna,Campus - São Paulo - Santana,Rua,R Voluntários da Pátria 257,Santana,02011-000,Faculdade,-23.517259,-46.628689
Faculdade_1.736.470,Privada,Pontifícia Universidade Católica de São Paulo,São Paulo - Campus Ipiranga,Rua,Av Nazaré 993,Ipiranga,04263-100,Faculdade,-23.593079,-46.608935
Faculdade_1.736.483,Privada,Faculdade Santa Marcelina,Unidade Sede,Rua,R Doutor Emílio Ribas 89,Perdizes,05006-020,Faculdade,-23.536493,-46.66561
Faculdade_1.736.488,Privada,Centro Universitário Estácio de São Paulo,Jabaquara,Rua,Av Jabaquara 1870,Saúde,04046-300,Faculdade,-23.620747,-46.640077
Faculdade_1.736.498,Privada,Centro Universitário Paulistano,Centro Universitário Paulistano,Rua,R Madre Cabrini 38,Vila Mariana,04020-001,Faculdade,-23.590127,-46.637747
Faculdade_1.736.507,Privada,Faculdade Mozarteum de São Paulo,Faculdade Mozarteum de São Paulo,Rua,R Nova dos Portugueses 365,Santa Terezinha,02462-080,Faculdade,-23.495004,-46.641042
Faculdade_1.736.543,Pública,Faculdade de Tecnologia de São Paulo,Unidade Sede,Rua,Praça Coronel Fernando Prestes 30,Bom Retiro,01124-060,Faculdade,-23.530021,-46.632683
Faculdade_1.736.742,Privada,Faculdade Cásper Líbero,Campus - São Paulo - Bela Vista,Rua,Av Paulista 900,Bela Vista,01310-940,Faculdade,-23.565557,-46.651091
Faculdade_1.736.960,Privada,Centro Universitário Santa Rita,Campus - São Paulo - Jaçanã,Rua,Av Jaçanã 648,Jaçanã,02273-001,Faculdade,-23.466318,-46.586449
Faculdade_1.736.980,Privada,Escola Superior de Propaganda e Marketing,Álvaro Alvim,Rua,R Doutor Álvaro Alvim 123,Vila Mariana,04018-010,Faculdade,-23.589968,-46.640127
Faculdade_1.736.998,Privada,Centro Universitário da Fundação Educacional Inaciana PE Sabóia de Medeiros,Campus Liberdade,Rua,R Tamandare 688,Liberdade,01525-000,Faculdade,-23.56425,-46.636093
Faculdade_1.737.004,Privada,Faculdade de Tecnologia Senai Theobaldo de Nigris,Campus - São Paulo - Mooca,Rua,R Bresser 2315,Mooca,03162-030,Faculdade,-23.548701,-46.600408
Faculdade_1.737.020,Privada,Escola de Sociologia e Política de São Paulo,Unidade Sede,Rua,R General Jardim 522,Vila Buarque,01223-010,Faculdade,-23.544404,-46.649654
Faculdade_1.737.023,Privada,Escola de Direito de São Paulo - Fgv Direito SP,Campus - São Paulo - Bela Vista,Rua,Av Nove de Julho 2029,Bela Vista,01313-902,Faculdade,-23.55927,-46.653723
Faculdade_1.737.097,Privada,Centro Universitário Senac,Sao Paulo (sede),Rua,Av Engenheiro Eusébio Stevaux Nº 823,Jurubatuba,04696-000,Faculdade,-23.675135,-46.696837
Faculdade_2.892.132,Privada,Faculdade de Tecnologia Saint Paul,Faculdade Saint Paul,Rua,R Pamplona 1616,Jardim Paulista,01424-000,Faculdade,-23.570134,-46.660407
Faculdade_2.892.139,Privada,Faculdade Fipecafi,Sede,Rua,R Maestro Cardim 1170,Liberdade,01323-001,Faculdade,-23.571263,-46.642113
Faculdade_2.892.140,Privada,Centro Superior de Estudos Jurídicos Carlos Drummond de Andrade,Sede,Rua,R Comendador Cantinho 394,Penha de França,03603-020,Faculdade,-23.525273,-46.550323
Faculdade_2.892.143,Privada,Centro Universitário Anhanguera de São Paulo,Marte,Rua,Av Braz Leme 3029,Santana,02022-011,Faculdade,-23.503292,-46.630149
Faculdade_2.892.147,Privada,Centro Universitário Anhanguera de São Paulo,Vila Mariana,Rua,R Afonso Celso 235,Vila Mariana,04119-901,Faculdade,-23.593683,-46.634773
Faculdade_2.892.149,Privada,Centro Universitário Anhanguera de São Paulo,Campo Limpo,Rua,Estrada do Campo Limpo 3677,Campo Limpo,05777-001,Faculdade,-23.630138,-46.771791
Faculdade_2.892.151,Privada,Faculdade Seqüencial,Unidade Sede,Rua,R Engenheiro Aluísio Marques 0,Parque Maria Helena,05854-110,Faculdade,-23.658237,-46.76396
Faculdade_2.892.154,Privada,Faculdade de Tecnologia Senai Suiço-brasileira Paulo Ernesto Tolle,Campus Principal,Rua,R Bento Branco de Andrade Filho 379,Jardim Dom Bosco,[4757000],Faculdade,-23.648009,-46.721715
