id,Rede,Nome,Localizado em,Endereço,Bairro,CEP,Tipo,Latitude,Longitude
Hipermercados e Supermercados_10.611.882,Giga Atacado,Giga Atacado - Tremembé,Rua,Av. Cel. Sezefredo Fagundes,Tucuruvi,02306-002,Hipermercados e Supermercados,-23.471703,-46.607326
Hipermercados e Supermercados_10.611.883,Giga Atacado,Giga Atacado,Rua,R. Miguel Nelson Bechara,Jardim Pereira Leite,02501-000,Hipermercados e Supermercados,-23.506908,-46.68281
Hipermercados e Supermercados_10.612.698,Nordestão,Mercadinho Nordestão,Rua,R. Antônio Pais,Luz,01027-020,Hipermercados e Supermercados,-23.537556,-46.630324
Hipermercados e Supermercados_10.637.342,Carrefour Express,Carrefour Express,Rua,Alameda Jaú,Jardim Paulista,01420-000,Hipermercados e Supermercados,-23.563228,-46.658281
Hipermercados e Supermercados_10.637.369,Carrefour Express,Carrefour Express Shopping Metrô Tucuruvi,Rua,Av. Dr. Antônio Maria Laet,Av. Dr. Antônio Maria Laet,02240-000,Hipermercados e Supermercados,-23.47434,-46.599367
Hipermercados e Supermercados_10.637.372,Carrefour Express,Carrefour Express Alto do Ipiranga,Rua,Av. Dr. Gentil de Moura,Alto do Ipiranga,04278-080,Hipermercados e Supermercados,-23.602219,-46.609867
Hipermercados e Supermercados_10.637.377,Carrefour Express,Carrefour Express 24 Horas,Rua,Av. Engenheiro Luís Carlos Berrini,Itaim Bibi,04571-011,Hipermercados e Supermercados,-23.605179,-46.692949
Hipermercados e Supermercados_10.637.382,Carrefour Express,Carrefour Express Guilherme Cotching,Rua,Av. Guilherme Cotching,Vila Maria,02113-012,Hipermercados e Supermercados,-23.518081,-46.589381
Hipermercados e Supermercados_10.637.389,Carrefour Express,Carrefour Express Shopping Itaquera,Rua,Av. José Pinheiro Borges,Vila Campanela,08220-900,Hipermercados e Supermercados,-23.779579,-45.358564
Hipermercados e Supermercados_10.637.404,Carrefour Express,Carrefour Express Jardim das Perdizes,Rua,Av. Marquês de São Vicente,Jardim das Perdizes,05036-040,Hipermercados e Supermercados,-23.543692,-46.665748
Hipermercados e Supermercados_10.637.406,Carrefour Express,Carrefour Express Moema,Rua,Av. Moema,Planalto Paulista,04077-023,Hipermercados e Supermercados,-23.596275,-46.66372
Hipermercados e Supermercados_10.637.438,Carrefour Express,Carrefour Express Aclimação,Rua,Av. da Aclimação,Aclimação,01531-000,Hipermercados e Supermercados,-23.570242,-46.632764
Hipermercados e Supermercados_10.637.439,Carrefour Express,Carrefour Express - Shopping SP Market,Rua,Av. das Nações Unidas,Jurubatuba,04795-000,Hipermercados e Supermercados,-23.5247,-46.758439
Hipermercados e Supermercados_10.637.470,Carrefour Express,Carrefour Express-augusta 2,Rua,R. Augusta,Consolação,01305-000,Hipermercados e Supermercados,-23.557064,-46.659103
Hipermercados e Supermercados_10.637.471,Carrefour Express,Carrefour Express Barão de Itapetininga,Rua,R. Barão de Itapetininga,República,01042-000,Hipermercados e Supermercados,-23.544664,-46.640602
Hipermercados e Supermercados_10.637.472,Carrefour Express,Carrefour Express Bela Cintra,Rua,R. Bela Cintra,Consolação,01415-003,Hipermercados e Supermercados,-23.557092,-46.662644
Hipermercados e Supermercados_10.637.486,Carrefour Express,Carrefour Express Shopping Metrô Santa Cruz,Rua,R. Domingos de Morais,Vila Mariana,04036-100,Hipermercados e Supermercados,-23.591979,-46.636388
Hipermercados e Supermercados_10.637.488,Carrefour Express,Carrefour Express Higienópolis,Rua,R. Dr. Albuquerque Lins,Santa Cecilia,01230-000,Hipermercados e Supermercados,-23.535559,-46.656543
Hipermercados e Supermercados_10.637.492,Carrefour Express,Carrefour Express Paraíso,Rua,R. Dr. Rafael de Barros,Paraíso,04003-040,Hipermercados e Supermercados,-23.573132,-46.647701
Hipermercados e Supermercados_10.637.493,Carrefour Express,Carrefour Express Itaim Bibi,Rua,R. Dr. Renato Paes de Barros,Itaim Bibi,04533-001,Hipermercados e Supermercados,-23.583335,-46.67385
Hipermercados e Supermercados_10.637.498,Carrefour Express,Carrefour Express Frei Caneca,Rua,R. Frei Caneca,Consolação,01307-002,Hipermercados e Supermercados,-23.553913,-46.653522
Hipermercados e Supermercados_10.637.505,Carrefour Express,Carrefour Express Joaquim Machado,Rua,R. Joaquim Machado,R. Joaquim Machado,05050-010,Hipermercados e Supermercados,-23.552139,-46.647198
Hipermercados e Supermercados_10.637.510,Carrefour Express,Carrefour Express Pateo Jahu,Rua,R. José da Silva Ribeiro,Vila Andrade,05726-130,Hipermercados e Supermercados,-23.624645,-46.740249
Hipermercados e Supermercados_10.637.522,Carrefour Express,Carrefour Express Nossa Senhora da Lapa,Rua,R. Nossa Sra. da Lapa,Lapa,05072-000,Hipermercados e Supermercados,-23.519805,-46.700811
Hipermercados e Supermercados_10.637.536,Carrefour Express,Carrefour Express Serra do Japi,Rua,R. Serra de Japi,Vila Gomes Cardim,03309-001,Hipermercados e Supermercados,-23.546056,-46.568855
Hipermercados e Supermercados_10.637.574,Carrefour Express,Carrefour Express,Rua,Rua Werner Von Siemens,Lapa de Baixo,05040-000,Hipermercados e Supermercados,-23.513181,-46.709315
Hipermercados e Supermercados_10.637.575,Carrefour Express,Carrefour Express Flechas,Rua,Rua das Flechas,Vila Santa Catarina,04364-030,Hipermercados e Supermercados,-22.456828,-47.521792
Hipermercados e Supermercados_10.662.555,Minuto Pão de Açúcar,Minuto Pão de Açúcar,Rua,Alameda Franca,Jardim Paulista,01422-002,Hipermercados e Supermercados,-23.563962,-46.660949
Hipermercados e Supermercados_10.662.557,Minuto Pão de Açúcar,Minuto Pão de Açúcar,Rua,Alameda Lorena,Jardim Paulistano,01424-007,Hipermercados e Supermercados,-23.652387,-46.533937
Hipermercados e Supermercados_10.662.559,Minuto Pão de Açúcar,Minuto Pão de Açúcar,Rua,Alameda Lorena,Jardim Paulista,01424-000,Hipermercados e Supermercados,-23.572704,-46.656578
Hipermercados e Supermercados_10.662.581,Minuto Pão de Açúcar,Minuto Pão de Açúcar,Rua,Av. Brig. Faria Lima,Jardim Paulistano,01451-000,Hipermercados e Supermercados,-23.652387,-46.533937
Hipermercados e Supermercados_10.662.601,Minuto Pão de Açúcar,Minuto Pão de Açúcar Guilherme Dumont Villares,Rua,Av. Dr. Guilherme Dumont Vilares,Jardim Londrina,05640-004,Hipermercados e Supermercados,-23.615779,-46.740791
Hipermercados e Supermercados_10.662.624,Minuto Pão de Açúcar,Minuto Pão de Açúcar Jose Galante,Rua,Av. José Galante,Vila Suzana,05642-000,Hipermercados e Supermercados,-23.541792,-46.310979
Hipermercados e Supermercados_10.662.633,Minuto Pão de Açúcar,Minuto Pão de Açúcar,Rua,Av. Lins de Vasconcelos,"Vila Mariana, São Paulo",04112-001,Hipermercados e Supermercados,-23.588703,-46.632456
Hipermercados e Supermercados_10.662.647,Minuto Pão de Açúcar,Minuto Pão de Açúcar,Rua,Av. Paulista,Bela Vista,01311-000,Hipermercados e Supermercados,-23.56329,-46.654118
Hipermercados e Supermercados_10.662.660,Minuto Pão de Açúcar,Minuto Pão de Açúcar,Rua,Av. Reg. Feijó,Vila Reg. Feijó,04734-001,Hipermercados e Supermercados,-23.779579,-45.358564
Hipermercados e Supermercados_10.662.665,Minuto Pão de Açúcar,Minuto Pão de Açúcar,Rua,Av. Santa Catarina,Vila Mascote,04378-000,Hipermercados e Supermercados,-27.961398,-48.681921
Hipermercados e Supermercados_10.662.707,Minuto Pão de Açúcar,Minuto Pão de Açúcar,Rua,R. Apucarana,Tatuapé,03311-000,Hipermercados e Supermercados,-23.546458,-46.563423
