id,Rede,Nome,Localizado em,Endereço,Bairro,CEP,Tipo,Latitude,Longitude,geometry
Escola Privada_1769840,Privada,Cr P Conv Nossa Senhora das Dores I,Rua,"Rendeira, 75",Jardim Vista Alegre,2878160,Escola Privada,-23.4523173,-46.6850335,POINT (-46.6850335 -23.4523173)
Escola Privada_1769841,Privada,Cei Indir Tequinho do Ceu,Rua,"Jequie, 38",Jardim Maracana,2839120,Escola Privada,-23.4758244,-46.6823801,POINT (-46.6823801 -23.4758244)
Escola Privada_1769842,Privada,Cei Indir Jardim dos Francos,Rua,"Pedro Alba, 245",Jardim Elisa Maria,2873540,Escola Privada,-23.4549074,-46.6807262,POINT (-46.6807262 -23.4549074)
Escola Privada_1769843,Privada,Cei Indir Jardim Damasceno,Rua,"Gregorio Pomar, 10",Jardim Damasceno,2879050,Escola Privada,-23.4495218,-46.6954165,POINT (-46.6954165 -23.4495218)
Escola Privada_1769845,Privada,Cr P Conv Creche Tia Lourdes,Rua,"Antonio Susini, 19",Jardim Princesa,2856100,Escola Privada,-23.4518879,-46.6930468,POINT (-46.6930468 -23.4518879)
Escola Privada_1769847,Privada,Cei Indir Vila Nina,Rua,"Jose de Campos Novaes, 200",Vila Nina,2834020,Escola Privada,-23.4732161,-46.6917977,POINT (-46.6917977 -23.4732161)
Escola Privada_1769853,Privada,Cr P Conv Sao Francisco Xavier,Rua,"Das Cerejeiras, 2035",Jardim Japao,2124002,Escola Privada,-23.5068766,-46.577745,POINT (-46.577745 -23.5068766)
Escola Privada_1769862,Privada,Cr P Conv Meimei,Rua,"Jose Olher, 66",Vila Nova Manchester,3444100,Escola Privada,-23.5439394,-46.5359177,POINT (-46.5359177 -23.5439394)
Escola Privada_1769873,Privada,Cr P Conv Ternurinha,Rua,"Analia Franco, 238",Vila Regente Feijo,3344040,Escola Privada,-23.5582562,-46.5728011,POINT (-46.5728011 -23.5582562)
Escola Privada_1769885,Privada,Cr P Conv Tabor,Rua,"Da Colonia, 120",Jardim Sao Goncalo,8370190,Escola Privada,-23.5964248,-46.4594345,POINT (-46.4594345 -23.5964248)
Escola Privada_1769886,Privada,Cei Indir Jardim Sao Francisco,Rua,"Da Idade Madura, 58",Jardim Rodolfo Pirani,8311480,Escola Privada,-23.6317345,-46.4567934,POINT (-46.4567934 -23.6317345)
Escola Privada_1769890,Privada,Cei Indir Antonio Assuncao Ferreira,Rua,"Sebastiao Moreira, 736",Parque Boa Esperanca,8341020,Escola Privada,-23.6014875,-46.4561508,POINT (-46.4561508 -23.6014875)
Escola Privada_1769893,Privada,Cei Indir Jardim Imperador,Rua,"Jose Roberto Pereira, 171",Jardim Imperador,3934010,Escola Privada,-23.5883541,-46.5033075,POINT (-46.5033075 -23.5883541)
Escola Privada_1769901,Privada,Cei Indir Jardim Eliane,Rua,"Maria do Carmo de Freitas, S/N",Jardim Eliane,3578225,Escola Privada,-23.558252,-46.5023999,POINT (-46.5023999 -23.558252)
Escola Privada_1769913,Privada,Cei Indir Espaco da Comunidade IX,Rua,"Arvore da Cera, 170",Jardim Santo Antonio,8032270,Escola Privada,-23.5149991,-46.4276652,POINT (-46.4276652 -23.5149991)
Escola Privada_1769935,Privada,Cr P Conv Santa Angela,Rua,"Queriqueri, 212",Jardim Elba,3980100,Escola Privada,-23.6157651,-46.5165477,POINT (-46.5165477 -23.6157651)
Escola Privada_1769942,Privada,Cei Indir Jardim Monte Azul,Rua,"Tomas de Sousa, 874",Jardim Monte Azul,5836350,Escola Privada,-23.6455406,-46.7368149,POINT (-46.7368149 -23.6455406)
Escola Privada_1769944,Privada,Cr P Conv Jesus Menino C Ed Comunitario,Rua,"Jacitara Tipiti, 2",Jardim Guairaca,3244090,Escola Privada,-23.6039466,-46.5397475,POINT (-46.5397475 -23.6039466)
Escola Privada_1769946,Privada,Cei Indir Acalanto,Rua,"Das Verbenas, 306",Vila Lucia,3144020,Escola Privada,-23.5944596,-46.5688032,POINT (-46.5688032 -23.5944596)
Escola Privada_1769949,Privada,Cr P Conv Helena da Silva Teixeira,Rua,"Das Dalias, 326",Vila Bela,3202060,Escola Privada,-23.598919,-46.5699762,POINT (-46.5699762 -23.598919)
Escola Privada_1769956,Privada,Cr P Conv Nossa Senhora do Carmo,Rua,"Maria Tavares, 148",Vila Alpina,3204080,Escola Privada,-23.5956861,-46.5593086,POINT (-46.5593086 -23.5956861)
Escola Privada_1769957,Privada,Cr P Conv Mary Anne,Rua,"Joaquim Pereira Pinto, 111",Jardim Avelino,3226070,Escola Privada,-23.5934784,-46.564552,POINT (-46.564552 -23.5934784)
Escola Privada_1769958,Privada,Cr P Conv Fraternidade Irma Amelia,Rua,"Nhengaibas, 356",Vila Graciosa,3160040,Escola Privada,-23.5797913,-46.5634617,POINT (-46.5634617 -23.5797913)
Escola Privada_1769961,Privada,Cr P Conv Anna Candida Brasil Navarro,Rua,"Borges Lagoa, 1555",Vila Clementino,4038034,Escola Privada,-23.5968417,-46.6458853,POINT (-46.6458853 -23.5968417)
Escola Privada_1769964,Privada,Cr P Conv Sao Bernardo,Rua,"Giovanni Bracelli, 35",Jardim Santa Emilia,4184060,Escola Privada,-23.6461774,-46.5991913,POINT (-46.5991913 -23.6461774)
Escola Privada_1769977,Privada,Cei Indir Isabel Princesa,Rua,"Macachas, 293",Vila Nair,4282000,Escola Privada,-23.6069486,-46.6104515,POINT (-46.6104515 -23.6069486)
Escola Privada_1769978,Privada,Cei Indir Vila Carioca,Rua,"Alvaro Fragoso, 520",Vila Independencia,4223000,Escola Privada,-23.5969935,-46.591951,POINT (-46.591951 -23.5969935)
