id,Rede,Nome,Localizado em,Endereço,Bairro,CEP,Tipo,Latitude,Longitude
Academia de Ginastica_11.094.670,Smart Fit,Academia Smart Fit Saude,Rua,Av. Jabaquara,Mirandópolis,04045-002,Academia de Ginastica,-23.616907,-46.638943
Academia de Ginastica_11.094.671,Smart Fit,Academia Smart Fit Santa Cecilia,Rua,Alameda Barros,Vila Buarque,01226-020,Academia de Ginastica,-23.448312,-46.505999
Academia de Ginastica_11.094.672,Panobianco,Panobianco Academia Jacana,Rua,R. Benjamin Pereira,Jaçanã,02274-001,Academia de Ginastica,-23.467954,-46.589116
Academia de Ginastica_11.094.673,Smart Fit,Academia Smart Fit Augusta,Rua,R. Augusta,Consolação,01305-100,Academia de Ginastica,-23.557064,-46.659103
Academia de Ginastica_11.094.674,Smart Fit,Academia Smart Fit Agua Fria,Rua,Av. Água Fria,Santana,02332-000,Academia de Ginastica,-23.480376,-46.621949
Academia de Ginastica_11.094.675,Bluefit,Bluefit,Rua,R. O Estado de São Paulo,Americanópolis,04429-000,Academia de Ginastica,-23.677475,-46.659962
Academia de Ginastica_11.094.676,Smart Fit,Academia Smart Fit Av Itaberaba I,Rua,Av. Itaberaba,Itaberaba,02734-040,Academia de Ginastica,-23.529571,-46.803609
Academia de Ginastica_11.094.677,Bio Ritmo,Academia Bio Ritmo Itaim,Rua,R. Joaquim Floriano,Itaim Bibi,04534-003,Academia de Ginastica,-23.584915,-46.675841
Academia de Ginastica_11.094.678,Smart Fit,Academia Smart Fit Shopping Campo Limpo,Rua,Estr. do Campo Limpo,Vila Prel,05777-970,Academia de Ginastica,-22.109489,-49.070391
Academia de Ginastica_11.094.679,Bluefit,Bluefit,Rua,R. Verbo Divino,Chácara Santo Antônio,04719-001,Academia de Ginastica,-23.618596,-46.573278
Academia de Ginastica_11.094.680,Panobianco,Academia Panobianco Grajau,Rua,Av. Dona Belmira Marin,Parque Brasil,04846-010,Academia de Ginastica,-23.552139,-46.647198
Academia de Ginastica_11.094.681,Panobianco,Panobianco Academia Jardim Tremembe,Rua,Av. Cel. Sezefredo Fagundes,Jardim Tremembe,02306-004,Academia de Ginastica,-23.436159,-46.594249
Academia de Ginastica_11.094.682,Bio Ritmo,Academia Bio Ritmo Paulista Conjunto Nacional,Rua,Av. Paulista,Bela Vista,01311-940,Academia de Ginastica,-23.56329,-46.654118
Academia de Ginastica_11.094.683,Smart Fit,Academia Smart Fit,Rua,Av. Raimundo Pereira de Magalhães,Vila Pirituba,02937-000,Academia de Ginastica,-23.460084,-46.720966
Academia de Ginastica_11.094.684,Selfit,Selfit Academias Vila Santa Clara,Rua,Rua Buenópolis,Vila Santa Clara,03161-010,Academia de Ginastica,-22.796107,-45.222032
Academia de Ginastica_11.094.685,Smart Fit,Academia Smart Fit Bernardino de Campos,Rua,Av. Bernardino de Campos,Paraíso,04004-050,Academia de Ginastica,-23.011893,-49.474665
Academia de Ginastica_11.094.686,Smart Fit,Academia Smart Fit Mendes Vila Natal,Rua,R. Sinfonia Italiana,Jardim São Bernardo,04844-610,Academia de Ginastica,-23.652387,-46.533937
Academia de Ginastica_11.094.687,Smart Fit,Academia Smart Fit Belenzinho,Rua,R. Cajuru,Belenzinho,03057-000,Academia de Ginastica,-23.648148,-46.820232
Academia de Ginastica_11.094.688,Panobianco,Panobianco Anchieta,Rua,Rod. Anchieta,Vila Moinho Velho,04247-002,Academia de Ginastica,-23.630142,-46.848262
Academia de Ginastica_11.094.689,Smart Fit,Academia Smart Fit Alto do Ipiranga,Rua,R. Salvador Simões,Ipiranga,04276-000,Academia de Ginastica,-23.600677,-46.613697
Academia de Ginastica_11.094.690,Panobianco,Panobianco Baruel,Rua,Av. Baruel,Vila Baruel,02522-000,Academia de Ginastica,-23.779579,-45.358564
Academia de Ginastica_11.094.691,Smart Fit,Academia Smart Fit Antonio Bento,Rua,R. Dr. Antônio Bento,Santo Amaro,04750-001,Academia de Ginastica,-23.646684,-46.703096
Academia de Ginastica_11.094.692,Smart Fit,Academia Smart Fit Praca do Forro,Rua,Praça Padre Aleixo Monteiro Mafra,São Miguel Paulista,08011-010,Academia de Ginastica,-23.492119,-46.444995
Academia de Ginastica_11.094.693,Bluefit,Bluefit,Rua,Av. Prof. Francisco Morato,Butantã,05512-200,Academia de Ginastica,-23.588592,-46.728142
Academia de Ginastica_11.094.694,Smart Fit,Academia Smart Fit Shopping Cidade Tiradentes,Rua,Estr. Iguatemi,Jardim Pedra Branca,08490-500,Academia de Ginastica,-23.113974,-48.612917
Academia de Ginastica_11.094.695,Smart Fit,Academia Smart Fit Sacoma,Rua,R. Bom Pastor,Ipiranga,04203-003,Academia de Ginastica,-23.589979,-46.607113
Academia de Ginastica_11.094.696,Smart Fit,Academia Smart Fit Oscar Freire,Rua,R. Oscar Freire,Cerqueira César,01426-000,Academia de Ginastica,-23.559937,-46.672308
Academia de Ginastica_11.094.697,Bluefit,Bluefit,Rua,R. Teodoro Sampaio,Pinheiros,05406-050,Academia de Ginastica,-23.561305,-46.683749
Academia de Ginastica_11.094.698,Selfit,Selfit,Rua,Alameda dos Arapanés,Moema,04524-001,Academia de Ginastica,-23.605926,-46.666333
Academia de Ginastica_11.094.699,Bio Ritmo,Academia Bio Ritmo Santander Sede,Rua,Av. Presidente Juscelino Kubitschek,Vila Olímpia,04543-011,Academia de Ginastica,-20.738465,-48.913529
Academia de Ginastica_11.094.700,Panobianco,Panobianco Intercontinental,Rua,Av. Intercontinental,Jardim Jussara,05525-060,Academia de Ginastica,-23.652387,-46.533937
Academia de Ginastica_11.094.701,Smart Fit,Academia Smart Fit Vila Carrao,Rua,Av. Guilherme Giorgi,Vila Carrao,03422-000,Academia de Ginastica,-23.55547,-46.545298
Academia de Ginastica_11.094.702,Panobianco,Panobianco Academia,Rua,R. Prof. Paulo Mangabeira Albernaz,Vila Imperio,04405-030,Academia de Ginastica,-23.668244,-46.656384
Academia de Ginastica_11.094.703,Smart Fit,Academia Smart Fit Mooca,Rua,Av. Paes de Barros,Parque da Mooca,03149-000,Academia de Ginastica,-23.567298,-46.591549
Academia de Ginastica_11.094.704,Bluefit,Bluefit Analia Franco,Rua,R. Apucarana,Vila Gomes Cardim,03311-001,Academia de Ginastica,11.909094,21.304293
