longitude,latitude,pt_nome,pt_descric,pt_enderec
-46.39156781130217,-23.48793651281532,"R. DOMINGOS FERNANDES NOBRE , 461",R CLEMENTE MARTINS DE MATOS/ R RIO MANUEL ALVES,CLEMENTE MARTINS DE MATOS/ R RIO MANUEL ALVES
-46.63830976568283,-23.48042226207138,"AV. DO GUACÁ , 550",R GREGORIO LOPES/ R BENJAMIN FERREIRA,GREGORIO LOPES/ R BENJAMIN FERREIRA
-46.67704370859511,-23.69348643035329,"AV. NSA. SRA. DO SABARÁ , 5605",RUA MIGUEL YUNES,UA MIGUEL YUNES
-46.59092077481797,-23.59373962016689,"R. ROBERTO KOCH , 480",RUA AIDA,UA AIDA
-46.57143893656793,-23.59424756108402,"R. DAS MIMOSAS , 212",R DOS CLIMATIS/ R DAS HERAS,DOS CLIMATIS/ R DAS HERAS
-46.54705236850012,-23.52792678518311,"R. MJ. ÂNGELO ZANCHI , 0",R SANTISSIMO REDENTOR/ R PERSIO AZEVEDO,SANTISSIMO REDENTOR/ R PERSIO AZEVEDO
-46.49546772973832,-23.54895454148383,"R. DR. XAVIER DE OLIVEIRA , 0",próximo a Rua Erasmo Mader,próximo a Rua Erasmo Mader
-46.67238673653878,-23.69669740250989,"AV. EMERICO RICHTER , 254",R BARRA GRANDE/ R JOAO BARROSO,BARRA GRANDE/ R JOAO BARROSO
-46.71304211498749,-23.48774044693175,"R. MANOEL BARBOSA , 289",R DR. FERREIRA DA LUZ/ R DOM MANUEL D ELBOUX,DR. FERREIRA DA LUZ/ R DOM MANUEL D ELBOUX
-46.459431115365,-23.5247165449783,"R. ARREIO DE PRATA , 8",R PÁSSARO PRETO/ R CHUVA E SOL,PÁSSARO PRETO/ R CHUVA E SOL
-46.65027547878481,-23.53496905428523,"AL. NOTHMANN , 1076",R GENERAL JULIO MARCONDES SALGADO/ R VITORINO CARMILO,GENERAL JULIO MARCONDES SALGADO/ R VITORINO CARMILO
-46.56993421451165,-23.516810901236,"R. CB. OSCAR ROSSINI , 805",AL S-SRG.  ANANIAS HOLANDA OLIVEIRA,AL S-SRG.  ANANIAS HOLANDA OLIVEIRA
-46.53177038459418,-23.5607115946891,"R. FRANCISCA DE PAULA , 1003",R AMARAIS/ R VIRGINIA,AMARAIS/ R VIRGINIA
-46.44951526788208,-23.50443660683997,"AV. TTE. LAUDELINO FERREIRA DO AMARAL , 1042",R JOAO FRNACO DE SOUSA/ R AURI DE CARIN,JOAO FRNACO DE SOUSA/ R AURI DE CARIN
-46.72644514868307,-23.44508967551073,"AV. AMADOR AGUIAR , 180",,
-46.62608972221521,-23.52307303672814,"R. GUAPORÉ , 385",SANTUÁRIO DAS ALMAS,SANTUÁRIO DAS ALMAS
-46.56099710245505,-23.57144363202806,"AV. LUCA , 81",R FLORIO/ R DOUTOR GABRIEL DE RESENDE,FLORIO/ R DOUTOR GABRIEL DE RESENDE
-46.59044492146613,-23.55215880357889,"R. TOBIAS BARRETO , 553",R SOUZA LEAO/ R SAPUCAIA,SOUZA LEAO/ R SAPUCAIA
-46.69488330883835,-23.76564516454119,"AV. CARLOS ALBERTO BASTOS MACHADO , 104",R DENIS DUPONT/ R CORONEL EDGARD PEREIRA ARMOND,DENIS DUPONT/ R CORONEL EDGARD PEREIRA ARMOND
-46.47598767379589,-23.61307619910858,"TERM. S. MATEUS - PLAT. A , 0",AV SAPOPEMBA/ PC FELISBERTO FERNANDES DA SILVA,AV SAPOPEMBA/ PC FELISBERTO FERNANDES DA SILVA
-46.41509946516469,-23.53143638631975,"AV. NORDESTINA , 6296",R ITATINGUI/ AV SAO LAZARO DE JERUSALEM,ITATINGUI/ AV SAO LAZARO DE JERUSALEM
-46.74934134007853,-23.62483294556501,"R. CASTANHO MIRIM , 60",R CIMBRES/ R CAMBIRISA,CIMBRES/ R CAMBIRISA
-46.58502831833528,-23.44930424608733,"R. MANUEL VIEIRA DA LUZ , 310",R PIER TASCA/ R JOSE FONSECA CAVALCANTI,PIER TASCA/ R JOSE FONSECA CAVALCANTI
-46.54963922961302,-23.56215964025774,"AV. DR. EDUARDO COTCHING , 1137",R CATUQUINA/ R SANTA BRIGIDA,CATUQUINA/ R SANTA BRIGIDA
-46.60340154527672,-23.63003749552463,"AV. PE. ARLINDO VIEIRA , 1007",R NOSSA SENHORA DAS MERCES/ R LEO DE MORAIS,NOSSA SENHORA DAS MERCES/ R LEO DE MORAIS
-46.69953076189904,-23.62347180573342,"AV. DR. CHUCRI ZAIDAN , 1170",Av. João Dória,Av. João Dória
-46.77240766724874,-23.47350768302082,"ROD. ANHANGUERA , 0",TREVO ANHANGUERA KM 18,TREVO ANHANGUERA KM 18
-46.5989821005501,-23.47886715472865,"AV. GUAPIRA , 407",R S FRUTUOSO/ R DOUTOR AGOES DA INDEPENDENCIA,S FRUTUOSO/ R DOUTOR AGOES DA INDEPENDENCIA
-46.7375611726181,-23.41083786020468,"R. CAVALO MARINHO , 682",R DEDALION/ R SEM NOME,DEDALION/ R SEM NOME
-46.62344475433206,-23.52016704195483,"R. JOSÉ JOAQUIM MOREDO , 0",AV CRUZEIRO DO SUL/ R AZURITA,AV CRUZEIRO DO SUL/ R AZURITA
-46.43439506158266,-23.60200012734699,"R. CELSO BETIM , 26",R FELIPE BONANI/ R BERNARDO ANTUNES ROLIM,FELIPE BONANI/ R BERNARDO ANTUNES ROLIM
-46.67232554280096,-23.462278441714,"AV. INAJAR DE SOUZA , 5476",R MONTES PIRINEUS / R. DÉIA DE CAMPOS LEMOS,MONTES PIRINEUS / R. DÉIA DE CAMPOS LEMOS
-46.58694432482927,-23.44268328119703,"R. ODILON DANTAS CORTEZ , 281",ESTRADA DE FURNAS,ESTRADA DE FURNAS
-46.48441485210697,-23.54032454785282,"R. DR. CAMPOS MOURA , 168",RUA PEDRO FILIER,UA PEDRO FILIER
-46.78457880955335,-23.69294974849346,"R. PAOLO PORPORA , 19",R JAMIL SAWAYA/RUA FRANCISCA QUEIROS,JAMIL SAWAYA/RUA FRANCISCA QUEIROS
-46.51946567986342,-23.50456780920217,"AV. CANGAIBA , 3855",AV ALFREDO RIBEIRO DE CASTRO/ R ENTRE RIOS,AV ALFREDO RIBEIRO DE CASTRO/ R ENTRE RIOS
-46.48040175586001,-23.57831236679982,"AV. AFONSO DE SAMPAIO E SOUSA , 2579",AV MARIA LUIZA AMERICANO/ TRAVESSA FERNANDO LAETE,AV MARIA LUIZA AMERICANO/ TRAVESSA FERNANDO LAETE
-46.45018107094052,-23.5604793584485,"R. VICTÓRIO SANTIM , 3806",CONDOMINIO ELLO CLUB DE VIVER,CONDOMINIO ELLO CLUB DE VIVER
-46.73894065265448,-23.5593512048072,"AV. PROF. ALMEIDA PRADO , 0",AV PROFESSOR ERNESTO DE MORAIS LEME,AV PROFESSOR ERNESTO DE MORAIS LEME
-46.71282357677417,-23.64485475010583,"AV. JOÃO DIAS , 1341",R ADIS ABEBA/ R OSVALDO DE ANDRADE,ADIS ABEBA/ R OSVALDO DE ANDRADE
-46.50736378183093,-23.50446177454526,"AV. CANGAIBA , 5140",R ANTONIO PITORRI/ R JACINTO LIMA SANTOS,ANTONIO PITORRI/ R JACINTO LIMA SANTOS
-46.66191229632223,-23.55973797822568,"R. AUGUSTA , 2047",AL ITU/ AL JAU,AL ITU/ AL JAU
-46.65626597965122,-23.66547049326928,"AV. CUPECE , 2933",R. PROFESSOR MANGABEIRA PAULO ALBERNAZ,PROFESSOR MANGABEIRA PAULO ALBERNAZ
