RGI,Latitude,Longitude
30547223,-23.538946,-46.778727
30546223,-23.542553,-46.777264
31322623,-23.580725,-46.565207
90842210,-22.9477756613166,-47.038183
31145523,-23.513731,-46.183777
30792323,-23.5558234899431,-46.2286107672119
11590237,-23.55186,-46.226465
10172231,-23.681175,-46.60314
39571120,-23.6051066717225,-46.5153079650818
399111222,-23.5940184957833,-46.4792915383453
30286123,-23.645327983778,-46.5360906851501
31836823,-23.5471344113411,-46.6914546588955
10422232,-23.525044883088,-46.7968215892995
31086523,-23.492662,-46.64039
33172923,-23.595661,-46.636839
399781222,-23.483367,-46.661404
31570623,-23.5566260416954,-46.3309688518677
31007423,-23.514455276075,-46.6529643294477
30919423,-23.554405,-46.789712
30302123,-23.529957,-46.675109
30629223,-23.5287018322731,-46.682165635582
399741222,-23.5958410755596,-46.623959145998
30782323,-23.615463,-46.674758
31155523,-23.548656,-46.659661
30741323,-23.6410433431493,-46.7365890502624
31014423,-23.5797946001886,-46.603616271164
99212212,-23.5331876539758,-46.563709635582
30902423,-23.657542,-46.667338
36468716,-23.6652040085839,-46.5066212270184
30809323,-23.550979,-46.757484
394021022,-23.478384,-46.592896
31182623,-23.5666196215637,-46.6582959582585
367711121,-23.549556,-46.545105
31541623,-23.391980682657,-46.3289431484795
397971222,-23.573372,-46.70869
30812323,-23.6049591581889,-46.8289855268059
30198123,-23.476276,-46.604055
31150523,-23.568372,-46.742481
30328123,-23.622496,-46.681284
31640723,-23.583256,-46.558605
31663723,-23.6036979517283,-46.6762311226845
367571121,-23.5275902339279,-46.6862101388871
10341231,-23.5997704649071,-46.5241116441803
31293623,-23.638751,-46.718161
30216123,-23.610598,-46.733207
393961022,-23.645252524596,-46.7347766452103
399701222,-23.5597950392214,-46.6702740944691
31806723,-23.485413,-46.853008
30503223,-23.614703,-46.671229
38031522,-23.555772,-46.456017
31279623,-23.4468991883529,-46.7244597361069
5557216,-23.510717,-46.553966
30202123,-23.656973950249,-46.704615
31929823,-23.543348,-46.597699
30214123,-23.516032,-46.627139
30211123,-23.585186,-46.545814
31842823,-23.5876531652252,-46.6835204383019
35471621,-23.6027159756756,-46.6129407374344
31677723,-23.5977653836705,-46.6388963141556
30404223,-23.6497284574625,-46.5340614981111
30029123,-23.5423576567187,-46.6445333214264
37820322,-23.568275,-46.700482
394241022,-23.5862963540218,-46.5842787063501
392571022,-23.5582423385392,-46.5511142098217
30803323,-23.5456925142941,-46.6929755478678
30281123,-23.621316,-46.684456
33155518,-23.5521332644359,-46.6930485687172
38072522,-23.5983258650481,-46.6318650340462
392621022,-23.493046,-46.876193
37360122,-23.571659,-46.715534
398201222,-23.568429,-46.657869
31636723,-22.9673341633202,-47.1369254175175
37894422,-23.577212,-46.440743
30072123,-22.8498727172421,-47.0579938306885
35806721,-23.589813666378,-46.6380981607132
11610237,-23.3293926476146,-46.7521697400894
11611237,-23.3292645756827,-46.7521429179993
399401222,-23.449853,-46.558054
397921222,-23.5363180642381,-46.7131732711639
37624222,-23.5776583336422,-46.642253
37712322,-23.7286743549412,-46.5417797829075
368001121,-23.6435359680326,-46.7128508368054
38579822,-22.7923831703768,-47.2784581861382
30899423,-23.5989301228017,-46.6400258945122
96702211,-23.607076,-46.599468
38312722,-23.6492261152212,-46.6455675276127
37570222,-23.655481,-46.553676
35708721,-23.5686335003251,-46.6908470613422
38406722,-23.6672138352109,-46.7175533369484
34832421,-23.647656,-46.702174
38684822,-23.5409450507834,-46.4739627427445
393631022,-23.569866,-46.710392
38522822,-23.645685,-46.539914
38058522,-23.588979,-46.639461
37446122,-23.5626298284846,-46.6633450846558
38414722,-23.5280031417523,-46.5304377288361
38686822,-23.573596,-46.646748
37448122,-23.5950278739673,-46.6708518492126
34768421,-23.6175438821698,-46.6355198809509
30036123,-23.6683296945017,-46.5492611779099
38012522,-22.898901,-47.043153
37940422,-23.536692965108,-46.7793404232788
38318722,-23.478565,-46.543215000000004
31166523,-23.5422451006905,-46.5165798429222
391531022,-23.6854385437276,-46.5603471018524
4317213,-23.538869,-46.942555
397711122,-23.6075457802265,-46.6685046243155
394601022,-23.5318438986672,-46.6481818981476
38838922,-23.543571,-46.648189
37947422,-23.544528,-46.648361
38379722,-23.536902,-46.651964
38182622,-23.609026,-46.633815
38582822,-23.492432,-46.882972
38580822,-23.4935841105104,-46.8728949140167
38540822,-23.515013,-46.858574
38043522,-23.5955948588994,-46.7447795165329
334561215,-23.4394881214188,-46.7183533147499
391931022,-23.5307243189292,-46.6855611865082
30148123,-23.667280081624,-46.7175546944428
39717220,-23.5295131544034,-46.6745423170967
30051123,-23.61236,-46.626155
38707922,-22.9229289342104,-47.0857091865082
38313722,-23.648834,-46.660689
37948422,-23.624847,-46.687191
37945422,-23.624847,-46.687191
37977422,-23.5811949975016,-46.5898797324715
392871022,-23.5909036541359,-46.6705384104681
37989522,-23.586172,-46.727146
394581022,-23.5724630168771,-46.4525952503929
398601222,-23.544173,-46.299124
30285123,-23.5702287885679,-46.6925857643833
38664822,-23.4947016463624,-46.4476050292001
38230622,-23.639859,-46.697458
38121522,-23.602001,-46.663103
38681822,-23.5350279620258,-46.6663147754631
37628222,-23.553473,-46.639586
35812721,-23.54838932815,-46.6618791754284
11128235,-23.5949547044668,-46.6498381987419
38236622,-23.59406,-46.650034
365771021,-23.5667707944851,-46.6543805975533
391381022,-23.552653,-46.688701
38583822,-23.553505,-46.6930070233135
31011423,-22.9506219041642,-47.1179070760574
397701122,-23.6140603653538,-46.667728656414
368061121,-23.612282,-46.730163
8575228,-23.5384207005045,-46.7483760846558
37572222,-23.5731554056829,-46.7080050894451
37585222,-23.554627,-46.612715
38118522,-23.554627,-46.612715
35683721,-23.607924,-46.669725
37740322,-23.545221666344,-46.5911716915016
398631222,-22.9482709544252,-47.1192860502624
396021122,-23.618726,-46.778182
37579222,-23.5208209180215,-46.5535802169189
10151231,-23.5210279807181,-46.5538269801483
31343623,-23.579765,-46.78023
30912423,-23.5464821558413,-46.5412934723873
394751022,-23.624676545816,-46.6653409451665
398591222,-22.968576,-47.111634
30199123,-23.718005,-46.547321
38019522,-23.708301,-46.544479
30309123,-23.70618,-46.544936
30338123,-23.714341,-46.547428
30339123,-23.705424,-46.546612
30301123,-23.707877,-46.542607
30336123,-23.706305,-46.547107
30191123,-23.682463,-46.563009
37392122,-23.6312666701305,-46.535533614975
39003922,-23.6413087103847,-46.7364656686478
97762211,-23.641063,-46.736868
5226215,-23.6277663094057,-46.6917432380981
38187622,-23.5370258326245,-46.6683308505364
5228215,-23.626144207581,-46.683844974205
38514822,-23.493525,-46.628746
38574822,-23.562871,-46.693671
38030522,-23.554195,-46.653896
397741122,-23.5638067072295,-46.6793088834324
30303123,-23.5952924026878,-46.6689159889202
394611022,-23.4871179116157,-46.7564352543144
34860421,-23.5486628510156,-46.5861264490738
37393122,-23.539853,-46.508083
38334722,-23.4873163987009,-46.4750923829422
38337722,-23.5327342406471,-46.4997736170578
38336722,-23.5312224482504,-46.5491226269836
38338722,-23.5473,-46.577821
35004521,-23.639642,-46.523464
38083522,-23.5753171263667,-46.6574419841308
394131022,-23.541696,-46.534178
38397722,-23.5889828263367,-46.594604390213
392201022,-23.718694,-46.846091
10381232,-23.718694,-46.846091
8595228,-22.776037,-47.138154
38589822,-22.776037,-47.138154
397081122,-23.624963,-46.691961
397941222,-22.89772,-47.051802
37544122,-23.532148653203,-46.6590987870636
34869421,-23.5549177690679,-46.5401446734371
37928422,-23.526794,-46.766545
38098522,-23.55974,-46.791864
38266622,-23.6190821113901,-46.7220382797623
391541022,-23.593898,-46.63814
38004522,-22.89538,-47.050339
34934521,-23.593808357433,-46.6265889312134
38217622,-23.561325,-46.664124
369611121,-23.542379,-46.355685
38010522,-22.895205,-47.050594
38249622,-23.590913,-46.882782
38090522,-23.582951,-46.636009
37408122,-23.596989,-46.638946
38073522,-23.690837,-46.686701
37435122,-23.5966903364943,-46.6397354110451
31002423,-23.5067348699575,-46.6580274723873
37449122,-23.588992,-46.683611
38108522,-23.640214502111,-46.5448153852501
394331022,-23.547477,-46.808344
38824922,-23.627955,-46.638009
38350722,-23.580916,-46.64152
38412722,-23.5558304204398,-46.5147799054184
38393722,-23.562216,-46.674262
372711221,-22.725126,-47.32506
397451122,-23.5963209548841,-46.6256351337643
399871222,-23.6213402668307,-46.5295855006638
37943422,-23.6000616960804,-46.6989641717929
366071021,-23.552493,-46.77092
31186620,-23.5031271193083,-46.4510579935342
38186622,-23.529921,-46.684539
37873422,-23.6147828480245,-46.6795848306885
35606721,-23.485814,-46.862184
38456822,-22.7129273553611,-47.6357326110535
365701021,-23.540827,-46.747169
31089523,-23.649006,-46.586161
398721222,-23.404053,-46.398763
37777322,-23.831348,-46.820308
38377722,-23.5427192463087,-46.3511536294651
38270722,-22.90185,-47.049793
38378722,-23.609328,-46.635972
37993522,-23.57078,-46.71131
39023922,-23.63183,-46.690613
37906422,-23.538171,-46.780039
399811222,-23.5641263154771,-46.5543242509088
38311722,-23.6260107204539,-46.6375363558197
37440122,-23.5344885250648,-46.6479541840267
38578822,-23.560012,-46.663537
36127616,-23.4794665843128,-46.635547945998
31163523,-23.5406838908763,-46.2317959547005
7901224,-22.8736015045255,-47.2116968968201
97752211,-23.558998,-46.652598
38119522,-23.629839,-46.691522
37702322,-23.5627564735395,-46.6672936700181
38038522,-23.5532910474851,-46.7801603735371
38042522,-23.507016,-46.70442
37308122,-23.550866,-46.615935
30196123,-23.568827,-46.635985
391451022,-23.651246,-46.533706
38314722,-23.547679,-46.607141
38032522,-23.6722707190882,-46.6511326944427
11919238,-22.9212790128863,-47.1172177263641
398121222,-23.6624151256817,-46.7676300932541
30053123,-23.5632867569388,-46.4013794355126
39054922,-23.5291922708749,-46.5132497141209
9062229,-23.529162709264,-46.5132376441803
34851421,-23.6366720628936,-46.5422186531441
38120522,-23.629983,-46.691636
30283123,-23.577157,-46.667852
37803322,-22.8885534696277,-47.1998511848335
39219120,-23.3169909510457,-46.6989675182495
38495822,-22.5694634659848,-47.4470782573105
394441022,-22.7987578780299,-47.1954268822784
37394122,-23.640601,-46.539814
392271022,-23.550846,-46.515059
38551822,-23.559121,-46.678715
38327722,-23.568199,-46.322975
30077123,-23.504346,-46.609084
31751723,-23.6006302992784,-46.6585030171966
38709922,-22.587301298974,-47.4122416170578
398411222,-23.4881469683186,-46.862992
398611222,-23.542777,-46.785776
394361022,-23.582973762194,-46.5982466539326
394351022,-23.5824603076322,-46.5981354748688
38373722,-23.549587,-46.688686
397631122,-23.6193195689737,-46.742676682209
38264622,-23.548354,-46.689475
392211022,-23.532228,-46.554684
30169123,-22.722264,-47.635637
30157123,-22.7771844660132,-47.637039994751
39920220,-23.5193264350013,-46.6812191104507
97822212,-23.5189865481304,-46.6811545635071
